what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323420187875
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323420224562
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323420227171
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323420227375
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1323420231921
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323420233250
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323420239953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323420240890
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323420241906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420244921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420246062
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1323420246109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420246734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420250281
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323420254406
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323420257546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323420265500
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323420267640
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1323420267703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323420273328
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323420275093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420277156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420278109
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1323420278140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420278796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420282296
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1323420286718
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323420299062
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323420305343
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1323420307765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420307937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420310109
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323420310859
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323420414171
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1323420448062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1323420468468
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1323420469453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323420470765
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323420473546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420475390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420476468
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1323420476515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420476781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420476890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420477281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420480859
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323420484765
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323420486718
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1323420489953
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323420502203
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323420503875
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1323420505468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420505593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323420507437
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1323420568968
