what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143122640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143134218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1325143196109
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1325143197593
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1325143197656
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1325143198234
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1325143198406
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1325143198546
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1325143198687
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1325143199218
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1325143201140
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1325143201156
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1325143201328
opened,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1325143201328
activated,perspective,,,"<Java_EE>",1325143201390
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1325143201406
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1325143202656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143204796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143205703
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1325143205734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143206000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143208796
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1325143214250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143223687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143225750
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1325143226500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143243734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325143246078
