what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608451406
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324608451421
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1324608453171
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1324608453234
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavadocView",1324608453484
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1324608453500
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1324608453500
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1324608453500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608474281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608474843
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324608482734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608483828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608498921
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324608498984
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324608499093
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1324608499093
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1324608595906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1324608601828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1324608603593
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1324608611375
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1324608611656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1324608612390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1324608613812
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1324608615734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1324608616796
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324608618843
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324608619937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608621953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608623031
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1324608623078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608623390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608623453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608627218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608628218
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324608628234
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324608629421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608630781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608631750
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324608631765
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324608632875
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1324608635015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608644250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608646781
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324608647250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608648671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608665109
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324608666296
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1324608668796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608668859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608670593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608671421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608692609
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324608692625
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1324608696046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608697046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608701515
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324608701515
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1324608705921
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324608761796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608771718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608775562
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1324608775640
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1324608775640
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1324608787515
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324608793593
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1324608797015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608797062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608798828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608799328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608806906
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324608806921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608809031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608810953
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1324608814031
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1324608817390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608817437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608819515
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1324608820203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608821437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608833437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324608835093
