what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331791421265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1331791421281
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findPrevious",1331791427812
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1331791432437
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.search.references.in.project",1331791432453
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331791433765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791445265
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1331791445359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791447968
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331791471250
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331791476984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791479578
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1331791479656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791482484
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331791485203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331791521109
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1331791524453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791527640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791528734
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1331791528750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791529015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791537031
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1331791540953
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331791544625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791552156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331791554296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792041078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792051390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792100078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792107343
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1331792108484
executed,command,org.tigris.subversion.subclipse.ui,1.8.3,"org.tigris.subversion.subclipse.ui.synchronize",1331792111671
opened,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1331792112546
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1331792112609
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1331792112656
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331792112656
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1331792112718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792112781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792115609
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331792116812
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1331792674406
opened,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1331792677875
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1331792677921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792678265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792678953
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1331792686484
executed,command,org.tigris.subversion.subclipse.ui,1.8.3,"org.tigris.subversion.subclipse.ui.update",1331792712218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792712500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792715171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792722187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792725343
executed,command,org.tigris.subversion.subclipse.ui,1.8.3,"org.tigris.subversion.subclipse.ui.update",1331792729656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792729921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792731125
activated,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1331792733093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792733375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792733796
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1331792736093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792737453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792739187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792740812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792909734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331792911343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331803293343
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331803294562
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1331803297828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331803300031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331803370046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331803371375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331803373812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331803375687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331804654906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331804655921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331807290203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331807291750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331807291937
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331807295250
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1331807298718
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1331807298718
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1331807298718
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1331807298718
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1331807298718
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1331807298718
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1331807298718
stopped,bundle,org.eclipse.rap.ui.launch,1.3.2.20110216-1041,"org.eclipse.rap.ui.launch",1331807298718
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1331807298718
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1331807298718
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1331807298718
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1331807298718
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1331807298718
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1331807298718
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1331807298718
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,15.0.1.v201111031820-219398,"overlay.com.android.ide.eclipse.adt.overlay",1331807298875
stopped,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1331807298875
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1331807298875
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1331807299078
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1331807299078
stopped,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1331807299078
stopped,bundle,com.collabnet.subversion.merge,3.0.4,"com.collabnet.subversion.merge",1331807299078
stopped,bundle,org.tigris.subversion.subclipse.graph,1.1.1,"org.tigris.subversion.subclipse.graph",1331807299703
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1331807299703
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1331807299703
stopped,bundle,org.tigris.subversion.subclipse.ui,1.8.3,"org.tigris.subversion.subclipse.ui",1331807299703
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1331807299843
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1331807299843
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1332211362078
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1332211362078
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1332211362140
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1332211362218
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1332211362218
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1332211362265
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1332211362281
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1332211362296
