what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.show.outline",1332833528404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833532513
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1332833537920
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1332833537967
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1332833541560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833545920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833546857
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1332833546857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833547185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833587232
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1332833589482
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1332833589607
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1332833589795
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1332833594451
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1332833600685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833609810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833611873
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1332833611888
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1332833616076
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1332833632623
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332833632685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833653810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833656420
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332833656529
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332833656592
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1332833656592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833657842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332833660232
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.line",1332833660248
