what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.gotoLastEditPosition",1326694431484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1326694432968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1326694433421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326694445718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694475265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694596781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1326694610000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1326694615843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1326694617437
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1326694618531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326694632593
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1326694637203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694643156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694644421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1326694647281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1326694655515
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.gotoLastEditPosition",1326694657671
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.gotoLastEditPosition",1326694658375
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.gotoLastEditPosition",1326694659421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1326694660328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1326694660859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694683109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694695890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1326694707796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326694715093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694717671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694717875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1326694721312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1326694724687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694731500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694734140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694735078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694738359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1326694742937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1326694749625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694758656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694779218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1326694805031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1326694808593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694833437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694837515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1326694853937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1326694857671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1326694861984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1326694882812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1326694887968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1326694892890
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1326694893875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1326694897218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694901093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694914281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694920156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326694932781
